,guuid,source,sampleid,plate_code
329,27d1f6fc-76d4-4f88-9fd6-de1143045af7,OXFORD,L1534,OX291_Ecol
330,27df7ad0-1161-4e6c-aed0-da854ceb2a32,APHA,MSG44-C13,OX1179_ECOL_APHA_Molsig
331,28083228-bde1-4393-b28a-d43930c6910b,APHA,MSG34-C18,OX407_Ecol
332,2818bd59-1cac-456a-9db4-2d7780b308af,OXFORD,L17013,OX319_Ecol
333,283c9cce-3d80-476a-b3cc-e68f0efdcaac,OXFORD,L45372,OX1366_Ecol_Oxf_BLC
334,285dfed9-bf17-4549-9847-be6a736f99c3,APHA,MSG25-C01,OX406_Ecol
335,287f6983-53c3-478a-8961-f93d67b6d997,APHA,MSG51-C10,OX410_Ecol
336,2891b4ca-8b22-4be6-a975-514989802dbd,APHA,MSG35-C13,OX407_Ecol
337,28e280d0-0fe7-43c3-afc0-19aef34a55f1,APHA,MSG51-C09,OX410_Ecol
338,28e4b513-f1d3-4897-9b8a-5a0d9e0d12c8,OXFORD,L2751,OX280_Ecol
340,28ef3571-dbfe-4132-92f0-ed08bc6dc689,HICF,HICF57_I1_E1,374_Mixd_batch36
342,29099b1d-9131-452b-a2ed-10cbf4f40992,APHA,MSG49-C14,OX410_Ecol
343,2918c2da-e88b-41c9-8c3a-b59c1833daef,OXFORD,L41004,OX274_Ecol
344,292f176b-d44c-41d5-9041-ce4e6aa2e77b,OXFORD,L28293,OX1366_Ecol_Oxf_BLC
345,29332f7b-8ec3-4b70-8825-11faa68ec1db,APHA,MSG50-C15,OX410_Ecol
346,29633c8d-44bf-4ec6-9db9-7687ea17bdb8,APHA,MSG17-C14,OX405_Ecol
347,29a2926d-2281-4af1-b26f-e6f1abbb3339,APHA,MSG39-C15,OX408_Ecol
348,29bcca51-bee9-47b3-92c6-595d05f8f14c,OXFORD,L31461,OX299_Ecol
349,29eb1ff0-b042-4daa-8055-3f45cb2d8441,OXFORD,L71483,OX289_Ecol
351,2a59126d-920b-4ced-be5c-68cd9a75ccb6,OXFORD,L36229,OX299_Ecol
352,2a5eb593-1f0a-4398-bc29-2dd1f5f54910,OXFORD,L83709,OX1364_Ecol_Oxf_BLC
353,2a9329ca-671f-4e69-b4bc-93b9499f422c,APHA,MSG15-C08,OX405_Ecol
354,2a9c719d-bfe7-49f2-8d43-c8a047f7e079,OXFORD,L44455,OX299_Ecol
355,2ab960b1-c383-48bc-8dc5-53b057bf6e37,APHA,MSG05-C10,OX404_Ecol
356,2ad214a1-95dd-47bd-bbff-b46d711b1c6f,OXFORD,L60234,OX289_Ecol
357,2ad7b1e0-fff5-45ca-a8a3-5d2a73283ce0,APHA,MSG14-C10,OX405_Ecol
358,2ae0e4f2-c009-4ff4-9eb6-d1b12fd9aaba,HICF,HICF7_I1_E1,307_Mixd_batch32
359,2afc2208-b24e-4010-9a79-0bfa7c593f6f,OXFORD,L8195,OX291_Ecol
360,2affa3a9-2768-4361-b279-9cb14f2c1822,OXFORD,L24238,OX1366_Ecol_Oxf_BLC
361,2b2a4d9a-ef42-45e8-9657-31f4decf71c2,OXFORD,L23956,OX274_Ecol
362,2b472f36-5908-4195-a660-01e4d86162e3,OXFORD,L65319,OX289_Ecol
363,2b4e5fb0-b79a-4a5f-99f7-aa1c1c21504d,OXFORD,L23539,OX274_Ecol
365,2b5e441b-700c-4b4e-baf4-c2658a3bde44,APHA,MSG33-C14,OX407_Ecol
366,2b761a1f-c1df-49f0-9c6c-51144c575262,HICF,HICF837,OX58_MIXED
369,2bbe5a11-bb40-43db-ad26-178f8e8fa317,HICF,HICF159_I1_E1,361_Ecol_batch15
