,guuid,source,sampleid,plate_code
102,0a25ee05-6117-4d72-aba4-bafa52db1e01,HICF,HICF193_I1_E1,374_Mixd_batch36
104,0a55540c-7f06-4b15-bdb3-d0fe9fbfc427,HICF,HICF104_I1_E1,361_Ecol_batch15
105,0a67d11a-b9c4-4ac5-a150-5d6298ae2f9e,HICF,HICF43_I1_E1,361_Ecol_batch15
106,0acbc307-ba63-4cb7-a514-526c3a3bbc4c,OXFORD,L44119,OX299_Ecol
107,0af52431-5b2f-4e91-9844-520fbcc7cba8,HICF,HICF807,OX58_MIXED
108,0b066028-49dd-4a6e-90db-5d040a68b3db,APHA,MSG25-C14,OX406_Ecol
109,0b7d4664-0e5d-4cc6-a604-75ea6445869b,APHA,MSG41-C11,OX408_Ecol
110,0bb6dcf8-ad8f-470b-babd-cbffaae37ded,OXFORD,L30683,OX274_Ecol
112,0bc3b533-3cca-4457-b7db-8d03d573cb3c,HICF,HICF880,OX58_MIXED
113,0bd02bb4-5941-40b2-873a-7dd7516f9064,APHA,MSG54-C14,OX410_Ecol
114,0bd449f2-b6f5-4f3f-bbb8-5784415c6899,OXFORD,F24034,OX299_Ecol
116,0c1dc4d9-18c5-4cf8-9986-53024743c2c0,HICF,HICF806,OX58_MIXED
117,0c4950a1-1df1-4fda-9729-7e68f811176f,OXFORD,T53881,OX299_Ecol
118,0c5a481a-ea41-42e2-81ea-98088c67d246,HICF,HICF187_I1_E1,362_Mixd_batch35
119,0c775a6a-0254-4e92-a59f-526b4dd54767,APHA,MSG41-C09,OX408_Ecol
120,0c8eaf38-dbaf-4088-8845-8a45a1b98a92,APHA,MSG38-C14,OX408_Ecol
121,0ca20a4c-4aa6-4a3d-94c0-67749bb48a3c,OXFORD,L84611,OX1364_Ecol_Oxf_BLC
122,0cb26e87-031e-448b-adde-ea8fda689daa,APHA,MSG46-C18,OX410_Ecol
123,0cd90d7d-7d48-4dad-8293-b297c6acf950,OXFORD,F12846,OX300_Ecol
124,0ce51ffd-e333-4007-a30e-339fc4e8f0e2,APHA,MSG13-C01,OX405_Ecol
125,0cfbfbe7-354a-4014-806c-bef148f3ff68,OXFORD,L94145,OX280_Ecol
126,0d26d75e-8b68-4cde-81ec-c157bf5e809b,OXFORD,L28584,OX300_Ecol
127,0d4789a2-71a6-4db7-b0c0-bb15a9ade85d,OXFORD,L28387,OX300_Ecol
128,0d88da70-e4de-4dd6-93f3-aba2ab0dacb0,OXFORD,L14441,OX291_Ecol
130,0d9b6457-3985-4783-9a1f-eb4303e07546,OXFORD,L18791,OX300_Ecol
