isolate,pattern,simulatable,contig
231066cc-6eef-4d84-ad83-e47237c54599,sul1_2_U12338:sul1_5_EU780013,True,NODE_62_length_6596_cov_75.884031
318c0c12-0431-4bc8-b849-cf9ff688b433,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,True,NODE_25_length_47352_cov_51.770449
f57898d2-5e4d-43de-b031-973811b63671,aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_38_length_43139_cov_29.912429
f57898d2-5e4d-43de-b031-973811b63671,sul1_2_U12338:sul1_5_EU780013,True,NODE_38_length_43139_cov_29.912429
f57898d2-5e4d-43de-b031-973811b63671,dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926:dfrA1_9_AJ238350,True,NODE_38_length_43139_cov_29.912429
805ee933-4cd8-4e5b-8d8d-edfb2ed46406,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340,True,NODE_69_length_11278_cov_48.612356
657ecffb-a724-4070-8f5b-4678947967b7,blaDHA-12_1_HG798963:blaDHA-1_1_Y16410,True,NODE_41_length_15115_cov_79.999069
657ecffb-a724-4070-8f5b-4678947967b7,qnrB34_1_JN173056:qnrB4_1_DQ303921,True,NODE_41_length_15115_cov_79.999069
657ecffb-a724-4070-8f5b-4678947967b7,sul1_2_U12338:sul1_5_EU780013,True,NODE_41_length_15115_cov_79.999069
fb36a4a3-f96c-42e6-865b-a6c24ccd933a,sul1_2_U12338:sul1_5_EU780013,True,NODE_72_length_6573_cov_63.727833
0ea7b340-9e49-4233-a794-21770567ee50,aadA11_2_AJ567827:aadA12_1_AY665771:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340,True,NODE_15_length_98908_cov_72.275490
59c05bfe-0a08-4bed-9794-94914f4f87ff,aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2b_1_D43625,True,NODE_58_length_8135_cov_137.223453
e6cdb8b5-4021-48ec-bd78-3b30f0019fd9,blaCMY-114_1_KM087846:blaCMY-138_1_KT997883:blaCMY-2_1_X91840,True,NODE_47_length_4572_cov_71.802225
25ab3532-2e70-44bc-8bb1-cca43e1ed9fb,dfrA7_1_AB161450:dfrA7_5_AJ419170,True,NODE_46_length_7727_cov_66.661569
a97de8d5-aba0-4fb1-88ea-b0bf7cde2814,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,True,NODE_61_length_15614_cov_44.934415
5ba81d16-bfd2-4c25-9e13-cd3f88980390,aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971,True,NODE_51_length_6810_cov_35.008911
5ba81d16-bfd2-4c25-9e13-cd3f88980390,sul1_2_U12338:sul1_5_EU780013,True,NODE_45_length_9918_cov_33.152830
9552364e-75ea-40f2-af62-3fa02904c711,blaLEN13_1_AJ635403:blaSHV-100_1_AM941846:blaSHV-153_1_JX121120:blaSHV-1_1_AF148850:blaSHV-48_1_AY263404,True,NODE_55_length_4376_cov_86.018144
9552364e-75ea-40f2-af62-3fa02904c711,aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_2_FJ591054:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_43_length_7137_cov_88.356516
9552364e-75ea-40f2-af62-3fa02904c711,sul1_2_U12338:sul1_5_EU780013,True,NODE_43_length_7137_cov_88.356516
95fb9406-778a-4841-abae-8b79694f6110,aph(3')-Ia_1_V00359:aph(3')-Ia_7_X62115,True,NODE_57_length_6093_cov_58.174701
95fb9406-778a-4841-abae-8b79694f6110,dfrA30_1_AM997279:dfrA5_1_X12868,True,NODE_37_length_35677_cov_45.448062
1c2a475f-944e-40b4-9540-9ad9fc777452,sul1_2_U12338:sul1_5_EU780013,True,NODE_73_length_6890_cov_41.362710
9471d3b9-00a5-4969-bfe9-e6cd2b4c99a6,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,True,NODE_49_length_10305_cov_58.335099
dda5cbde-2bc8-4353-9fe2-03db7bfa5611,aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971,True,NODE_57_length_2924_cov_148.032315
dda5cbde-2bc8-4353-9fe2-03db7bfa5611,sul1_2_U12338:sul1_5_EU780013,True,NODE_41_length_10115_cov_69.142459
c8cc63fc-fecb-4078-810d-f49e63950aec,aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2_2_JQ364967,True,NODE_22_length_88057_cov_51.708616
c8cc63fc-fecb-4078-810d-f49e63950aec,aph(3'')-Ib_2_AF024602:aph(3'')-Ib_4_AF313472,True,NODE_22_length_88057_cov_51.708616
c8cc63fc-fecb-4078-810d-f49e63950aec,sul1_2_U12338:sul1_5_EU780013,True,NODE_22_length_88057_cov_51.708616
503f417e-2290-4851-915d-a6eaf619e401,aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_88_length_859_cov_325.309463
0152fff8-5a8e-4031-8634-81b08a4b5c85,blaLEN12_1_AJ635406:blaSHV-100_1_AM941846:blaSHV-153_1_JX121120:blaSHV-1_1_AF148850:blaSHV-48_1_AY263404,True,NODE_48_length_4376_cov_70.232147
0152fff8-5a8e-4031-8634-81b08a4b5c85,aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_41_length_7136_cov_69.128630
0152fff8-5a8e-4031-8634-81b08a4b5c85,sul1_2_U12338:sul1_5_EU780013,True,NODE_41_length_7136_cov_69.128630
01485841-e17b-45e8-8a54-c1ff38ddddb0,aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_9_length_165032_cov_46.253354
01485841-e17b-45e8-8a54-c1ff38ddddb0,aph(3'')-Ib_5_AF321551:aph(3'')-Ib_2_AF024602:aph(3'')-Ib_3_AF321550,True,NODE_46_length_13847_cov_74.881336
2c54bf8a-bb6e-4dd7-b642-08afbfc8f8f3,aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_33_length_65421_cov_40.223632
b455a776-5b64-4581-a7f6-b3031cd9fdd8,dfrA17_1_FJ460238,False,
d05a2400-8f24-43c7-9c81-96c061d77451,blaCMY-2_1_X91840:blaCMY-81_1_JQ733578,True,NODE_7_length_153939_cov_66.229478
d05a2400-8f24-43c7-9c81-96c061d77451,aph(3'')-Ib_2_AF024602:aph(3'')-Ib_4_AF313472,True,NODE_7_length_153939_cov_66.229478
0a0c39e3-22b0-433f-aa5c-b16610b8041a,dfrA30_1_AM997279:dfrA5_1_X12868,True,NODE_28_length_35820_cov_44.766276
de724a92-7521-4b76-9307-8bf969dc6196,sul1_2_U12338:sul1_5_EU780013,True,NODE_35_length_10119_cov_68.396734
de724a92-7521-4b76-9307-8bf969dc6196,sul2_13_AJ289135,False,
e3913471-81f8-4169-b075-d65c8213e335,aph(3'')-Ib_5_AF321551,False,
e3913471-81f8-4169-b075-d65c8213e335,dfrA14_4_AF393510:dfrA14_5_DQ388123,True,NODE_18_length_107484_cov_77.098392
4e4b5202-06ab-44fc-8655-98160e31d368,aac(3)-IIa_1_X51534:aac(3)-IIe_1_EU022315,True,NODE_62_length_2754_cov_30.028390
4e4b5202-06ab-44fc-8655-98160e31d368,sul1_2_U12338:sul1_5_EU780013,True,NODE_51_length_10703_cov_43.772351
5e9bafd6-1cac-462a-b5e0-6f0aff27ce6e,dfrA14_1_KF921535:dfrA14_5_DQ388123,True,NODE_49_length_12210_cov_224.772274
081f6f17-bbe9-4088-8b1f-6e5560cd1a13,sul1_2_U12338:sul1_5_EU780013,True,NODE_66_length_6682_cov_79.795609
5948f1e6-d142-4c83-a0d5-51cedd58e4cd,aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,True,NODE_57_length_10118_cov_72.361452
d50ef199-9cab-4512-8b1e-dee14c1cc714,blaTEM-106_1_AY101578:blaTEM-135_1_GQ896333:blaTEM-1B_1_AY458016,True,NODE_26_length_67450_cov_85.803438
d50ef199-9cab-4512-8b1e-dee14c1cc714,qnrS1_1_AB187515:qnrS2_1_DQ485530,True,NODE_26_length_67450_cov_85.803438
d50ef199-9cab-4512-8b1e-dee14c1cc714,aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_60_length_8619_cov_90.247249
098a9904-67a6-4aac-af72-2df1fcbb171a,blaLEN12_1_AJ635406:blaSHV-100_1_AM941846:blaSHV-153_1_JX121120:blaSHV-1_1_AF148850:blaSHV-48_1_AY263404,True,NODE_53_length_4376_cov_35.591766
098a9904-67a6-4aac-af72-2df1fcbb171a,aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_39_length_7137_cov_45.058924
098a9904-67a6-4aac-af72-2df1fcbb171a,sul1_2_U12338:sul1_5_EU780013,True,NODE_39_length_7137_cov_45.058924
896c0ef8-87ef-4c42-9ce8-c671b8fa578c,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:aadA5_1_AF137361:ant(3'')-Ia_1_X02340,False,
896c0ef8-87ef-4c42-9ce8-c671b8fa578c,sul1_2_U12338:sul1_5_EU780013,True,NODE_55_length_17843_cov_39.618879
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7,aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_45_length_13535_cov_52.138951
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7,sul1_2_U12338:sul1_5_EU780013,True,NODE_45_length_13535_cov_52.138951
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7,dfrA1_10_AF203818:dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926:dfrA1_9_AJ238350,True,NODE_45_length_13535_cov_52.138951
cf09b6fc-6485-42bf-bcfb-984ef626164b,aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971,False,
39600419-b2fc-41a0-a573-282012eb1f62,blaTEM-1B_1_AY458016,False,
39600419-b2fc-41a0-a573-282012eb1f62,sul1_2_U12338:sul1_5_EU780013,True,NODE_39_length_11233_cov_91.795626
1476921a-ea8e-43cd-860e-95162df00594,sul1_2_U12338:sul1_5_EU780013,True,NODE_58_length_7664_cov_50.689996
eba8d22e-ad77-4305-9ab4-cccbaafdf5da,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA1_4_JQ480156:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,False,
aa638f15-2195-4e96-8976-82ae8616c53e,blaOXA-1_1_HQ170510,False,
aa638f15-2195-4e96-8976-82ae8616c53e,aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129,True,NODE_101_length_796_cov_80.072323
aa638f15-2195-4e96-8976-82ae8616c53e,sul1_2_U12338:sul1_5_EU780013,True,NODE_78_length_1685_cov_98.554726
7e482688-a643-41e4-8ee3-47c4178a0e00,aph(6)-Id_1_M28829,False,
7e482688-a643-41e4-8ee3-47c4178a0e00,dfrA14_4_AF393510,False,
3f14c247-2e92-4f42-b367-9fba460835b1,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,True,NODE_60_length_7988_cov_45.650613
522e9ac9-8e9c-4709-a736-ec4889eb9c7f,blaCMY-114_1_KM087846:blaCMY-2_1_X91840,True,NODE_37_length_27497_cov_33.839533
522e9ac9-8e9c-4709-a736-ec4889eb9c7f,blaOXA-181_1_CM004561:blaOXA-204_1_KP027885,True,NODE_44_length_12655_cov_53.795436
522e9ac9-8e9c-4709-a736-ec4889eb9c7f,qnrS1_1_AB187515:qnrS2_1_DQ485530,True,NODE_44_length_12655_cov_53.795436
522e9ac9-8e9c-4709-a736-ec4889eb9c7f,sul1_2_U12338:sul1_5_EU780013,True,NODE_51_length_5306_cov_36.746988
734368c5-399a-4d1b-9016-ab759595f06a,blaTEM-1B_1_AY458016,False,
142b339e-89f3-4a1b-82cc-272ba8312b47,qnrS1_1_AB187515:qnrS6_1_HQ631376,True,NODE_84_length_1762_cov_145.412181
