trg_pattern,abx,number_of_isolates,method_agreement,overall_agreement
aadA11_2_AJ567827:aadA12_1_AY665771:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:1:0:1:0:0|1:1:1:1:1:0:0,ami,6,1:2:3:4,False
dfrA8_1_U10186|1|1|1|1,tri,12,1:1:1:1,True
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:1:0:1:0:0|1:1:1:1:1:0:0,ami,17,1:2:3:4,False
qnrB19_1_EU432277:qnrB54_1_HE820727|1:0|1:0|1:0|1:1,qui,4,1:1:1:2,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:1:0:0:1:0|1:1:1:1:0:1:0,ami,30,1:2:2:3,False
blaLEN12_1_AJ635406:blaSHV-100_1_AM941846:blaSHV-153_1_JX121120:blaSHV-1_1_AF148850:blaSHV-48_1_AY263404|0:0:0:0:1|0:0:1:1:0|0:0:0:1:0|1:1:0:1:0,blm,5,1:2:3:4,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:0:1:0:0|0:0:0:0:0:0:1|1:1:1:1:0:1:0,ami,1,1:2:1:3,False
blaNDM-7_1_JX262694|1|1|1|1,blm,1,1:1:1:1,True
aac(3)-IV_1_DQ241380:aac(3)-IVa_1_X01385|0:1|1:0|1:0|1:0,ami,25,1:2:2:2,False
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:0:0:1:0:1|1:0:1:1:1:1:0:0,ami,1,1:2:1:3,False
aph(4)-Ia_1_V01499|1|1|1|1,ami,25,1:1:1:1,True
dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926:dfrA1_9_AJ238350|0:0:1:0|0:0:1:0|1:0:0:0|0:1:0:1,tri,4,1:1:2:3,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:1:0:0|0:0:1:0:0|1:1:1:1:0,ami,21,1:2:2:3,False
blaLEN12_1_AJ635406:blaSHV-100_1_AM941846:blaSHV-153_1_JX121120:blaSHV-1_1_AF148850:blaSHV-48_1_AY263404|0:0:0:0:1|0:0:1:0:1|0:0:0:1:0|1:1:0:1:0,blm,6,1:2:3:4,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:0:1:1,ami,4,1:2:1:3,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:1|0:0:1:0|0:0:0:1|1:1:1:1,ami,2,1:2:1:3,False
aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA22_1_AM261837:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:1:0:0:1|0:0:0:0:1|1:0:1:1:0,ami,1,1:2:1:3,False
blaCMY-138_1_KT997883:blaCMY-14_1_AJ555825:blaCMY-16_1_AJ781421:blaCMY-2_1_X91840:blaCMY-68_1_JN714480|0:0:0:1:0|0:0:1:0:0|1:0:0:0:0|0:1:0:0:1,blm,1,1:2:3:4,False
