trg_pattern,abx,number_of_isolates,method_agreement,overall_agreement
aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2b_1_D43625|0:0:0:1:0|0:0:0:0:1|0:0:0:1:0|1:1:1:0:1,ami,8,1:2:1:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA1_5_JX185132:aadA23_1_AJ809407:aadA24_1_AM711129:aadA8b_1_AY139603:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:0:1|0:0:1:0:1:0:0:0|0:0:0:1:0:0:0:0|1:1:0:1:0:1:1:0,ami,1,1:2:3:4,False
dfrB1_1_U36276:dfrB6_1_DQ274503|1:0|1:0|1:0|1:1,tri,2,1:1:1:2,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA22_1_AM261837:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1:0:1|0:0:1:0:0:0:0:1:0|0:0:0:0:0:0:0:1:1|1:1:1:1:1:1:0:0:0,ami,2,1:2:3:4,False
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_4_AF313472:aph(3'')-Ib_5_AF321551|1:0:0|0:0:1|1:0:0|0:1:0,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:0:1:1|1:1:0:1:0:1:1,ami,3,1:2:3:4,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:1:0:1:0:0|0:0:0:0:0:0:1|1:1:0:1:1:1:0,ami,4,1:2:1:3,False
dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926:dfrA1_9_AJ238350|0:0:1:0|0:0:0:1|1:0:0:0|0:1:0:1,tri,11,1:2:3:4,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:1:0:0:0|0:0:0:0:0:0:1|1:1:1:0:1:1:0,ami,4,1:2:1:3,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:aadA24_1_DQ677333:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:1:0:0:0|0:0:0:0:0:1|1:1:0:1:1:0,ami,2,1:2:1:3,False
aph(3'')-Ib_5_AF321551:aph(3'')-Ib_2_AF024602:aph(3'')-Ib_3_AF321550|0:1:0|0:0:1|0:1:0|1:0:0,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:1:0:1|1:1:1:1:1:0:0,ami,3,1:2:1:3,False
blaCMY-2_1_X91840:blaCMY-78_1_JQ733575|1:0|1:0|1:0|1:1,blm,1,1:1:1:2,False
blaCMY-42_1_HM146927:blaCMY-78_1_JQ733575|1:0|1:0|1:0|1:1,blm,2,1:1:1:2,False
aac(6')-Ib-cr_1_DQ303918:aac(6')-Ib-cr_2_EF636461|1:0|0:1|1:0|0:0,ami,1,1:2:1:3,False
sul1_2_U12338:sul1_5_EU780013:sul1_9_AY963803|0:1:0|1:0:0|0:0:1|1:0:0,sul,3,1:2:3:2,False
blaTEM-1B_1_AY458016:blaTEM-1D_1_AF188200|0:1|0:1|1:1|0:1,blm,3,1:1:2:1,False
blaTEM-135_1_GQ896333:blaTEM-1B_1_AY458016|0:1|0:1|1:0|1:0,blm,2,1:1:2:2,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:1:1:0,ami,3,1:2:1:3,False
aph(3')-Ia_1_V00359:aph(3')-Ia_9_EU722351|1:0|0:1|1:0|1:0,ami,4,1:2:1:1,False
blaCMY-114_1_KM087846:blaCMY-2_1_X91840:blaCMY-44_1_FJ437066|0:1:0|0:1:0|0:1:0|1:0:1,blm,3,1:1:1:2,False
sul1_36_X15024:sul1_39_AY522923:sul1_5_EU780013:sul1_8_JN581942|0:0:1:0|0:1:0:0|1:0:0:0|0:0:0:1,sul,1,1:2:3:4,False
dfrA1_10_AF203818:dfrA1_7_AJ400733:dfrA1_8_X00926|0:0:1|1:0:0|0:0:1|0:1:1,tri,1,1:2:1:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA1_4_JQ480156:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:0:0:0:1:0|0:0:1:0:0:0:0|1:1:1:1:1:0:0,ami,1,1:2:3:4,False
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:1:0:0:1:0:0|0:0:0:0:1:0:0|1:0:1:1:1:1:0,ami,1,1:2:3:4,False
sul1_5_EU780013:sul1_8_JN581942|0:0|0:0|1:0|0:1,sul,1,1:1:2:3,False
dfrA17_1_FJ460238:dfrA7_1_AB161450:dfrA7_2_AJ884724:dfrA7_5_AJ419170|1:0:0:1|1:0:0:0|1:1:0:0|1:0:1:0,tri,1,1:2:3:4,False
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:1:0:0:1:0|1:0:1:1:1:0:1:0,ami,4,1:2:3:4,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1:0:1|0:0:0:0:1:0:0:1:0|0:0:0:0:0:0:0:0:1|1:1:1:1:0:1:0:0:0,ami,1,1:2:3:4,False
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_4_AF313472:aph(3'')-Ib_5_AF321551|1:0:0|0:1:0|0:0:1|0:0:1,ami,2,1:2:3:3,False
aph(6)-Id_1_M28829|1|0|1|1,ami,2,1:2:1:1,False
sul2_3_HQ840942:sul2_6_FN995456|0:1|1:0|1:0|1:0,sul,2,1:2:2:2,False
aph(3')-Ia_1_V00359|1|0|1|1,ami,4,1:2:1:1,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,5,1:2:2:3,False
aph(6)-Id_4_CP000971|0|1|0|1,ami,1,1:2:1:2,False
sul2_10_AM183225:sul2_2_AY034138|0:0|1:0|0:0|0:1,sul,1,1:2:1:3,False
aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971|1:0|0:1|1:0|0:1,ami,1,1:2:1:2,False
aph(3'')-Ib_3_AF321550:aph(3'')-Ib_1_M28829:aph(3'')-Ib_2_AF024602|0:1:1|1:0:0|0:0:1|0:0:1,ami,1,1:2:3:3,False
qnrB19_1_EU432277:qnrB48_1_JQ762640|1:0|1:0|1:0|1:1,qui,1,1:1:1:2,False
dfrA17_1_FJ460238|0|0|1|1,tri,2,1:1:2:2,False
dfrA1_10_AF203818:dfrA1_7_AJ400733:dfrA1_8_X00926|0:0:1|1:0:0|1:0:0|1:1:0,tri,1,1:2:2:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:1:0:1:0:0|0:0:0:0:1:0:0|1:1:0:1:1:1:0,ami,3,1:2:3:4,False
aph(3')-Ia_1_V00359:aph(3')-Ia_7_X62115|1:0|0:1|0:1|0:1,ami,1,1:2:2:2,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2b_1_D43625:aadA5_1_AF137361|0:0:0:1:0:1|0:0:0:0:1:1|0:0:0:1:0:1|1:1:1:1:0:1,ami,4,1:2:1:3,False
blaCTX-M-27_1_AY156923|1|1|1|1,blm,3,1:1:1:1,True
aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:ant(3'')-Ia_1_X02340|0:0:0:1|0:0:1:0|0:0:1:0|1:1:1:0,ami,5,1:2:2:3,False
blaCMY-138_1_KT997883:blaCMY-15_1_AJ555823:blaCMY-16_1_AJ781421:blaCMY-2_1_X91840:blaCMY-78_1_JQ733575|0:0:0:1:0|0:0:1:0:0|1:0:0:0:0|0:1:0:0:1,blm,1,1:2:3:4,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:1:0:1:0:0|0:0:0:0:1:0:0|1:1:0:1:1:1:0,ami,5,1:2:3:4,False
aph(6)-Id_4_CP000971:aph(6)-Id_1_M28829|0:1|0:0|1:0|0:0,ami,1,1:2:3:2,False
blaIMP-28_1_JQ407409:blaIMP-70_1_MG748725|0:1|0:1|0:1|1:1,blm,2,1:1:1:2,False
aac(6')-Ib-cr_1_DQ303918|1|0|1|1,qui,1,1:2:1:1,False
aac(6')-Ib-cr_1_DQ303918:aac(6')-Ib3_1_X60321|1:0|0:1|1:0|1:0,ami,1,1:2:1:1,False
blaTEM-106_1_AY101578:blaTEM-135_1_GQ896333:blaTEM-1B_1_AY458016|0:0:1|1:0:0|0:1:0|0:1:0,blm,2,1:2:3:3,False
dfrA1_8_X00926|0|1|0|1,tri,1,1:2:1:2,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:0:1:0:0:0:1:0|0:0:0:0:1:0:0:1|1:1:1:1:1:0:0:0,ami,1,1:2:3:4,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_5_JX185132:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:0:1:0|0:0:0:1:0|1:1:1:1:0,ami,1,1:2:2:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:1:0:1:0:0|0:0:0:0:0:0:1|1:1:0:1:0:1:1,ami,2,1:2:1:3,False
aph(6)-Id_1_M28829|0|1|0|1,ami,2,1:2:1:2,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:0:1:0|0:0:0:1:0|1:1:1:1:0,ami,1,1:2:2:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129|0:0:0:0:1:0|0:0:1:0:1:0|0:0:0:0:1:0|1:1:0:1:1:1,ami,1,1:2:1:3,False
ant(2'')-Ia_1_X04555|1|1|1|1,ami,8,1:1:1:1,True
dfrA19_1_EU855687|1|1|1|1,tri,1,1:1:1:1,True
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:1:1:0,ami,3,1:2:1:3,False
aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:1:0:1:0:0|0:0:0:0:0:1|1:0:1:1:1:0,ami,2,1:2:1:3,False
blaCMY-114_1_KM087846:blaCMY-138_1_KT997883:blaCMY-2_1_X91840|0:0:1|0:0:1|0:1:0|1:1:0,blm,1,1:1:2:3,False
blaOXA-1_1_HQ170510|0|1|0|0,blm,1,1:2:1:1,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:0:1:0,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:1:0:1:0:0|0:0:0:0:0:0:1|1:1:0:1:0:1:1,ami,3,1:2:1:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA22_1_AM261837:aadA24_1_AM711129:aadA8b_2_AM040708:ant(3'')-Ia_1_X02340|0:0:1:0:0:0|0:0:1:0:0:0|0:0:0:0:0:1|1:1:1:1:1:0,ami,1,1:1:2:3,False
sul2_6_FN995456|1|1|1|1,sul,5,1:1:1:1,True
dfrA1_7_AJ400733:dfrA1_8_X00926:dfrA1_9_AJ238350|0:1:0|0:0:1|0:1:0|1:1:0,tri,1,1:2:1:3,False
qnrB19_1_EU432277:qnrB49_1_JQ582718:qnrB5_1_DQ303919|0:0:1|1:0:0|1:0:0|1:1:0,qui,1,1:2:2:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:0|0:0:1:0:1:0:0|0:0:0:0:0:0:1|1:1:0:1:1:1:0,ami,1,1:2:3:4,False
dfrA14_1_KF921535|0|1|0|1,tri,1,1:2:1:2,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:1:0:0:0|1:1:1:0:1:0,ami,1,1:2:3:4,False
blaCMY-2_1_X91840:blaCMY-90_1_HE819404|1:0|1:0|1:0|1:1,blm,1,1:1:1:2,False
blaACT-15_1_JX440356|0|0|0|1,blm,1,1:1:1:2,False
aac(6')-Ib-cr_1_DQ303918|0|0|1|0,qui,1,1:1:2:1,False
aac(6')-Ib-Hangzhou_1_FJ503047:aac(6')-Ib-cr_1_DQ303918:aac(6')-Ib3_1_X60321|0:0:0|0:0:1|0:1:0|1:0:0,ami,1,1:2:3:4,False
ant(2'')-Ia_6_AJ871915|1|1|1|1,ami,1,1:1:1:1,True
blaTEM-1B_1_AY458016:blaTEM-1D_1_AF188200|1:0|0:0|1:1|1:0,blm,1,1:2:3:1,False
blaTEM-35_1_KP860986|1|1|1|1,blm,2,1:1:1:1,True
blaCARB-2_1_M69058|1|1|1|1,blm,1,1:1:1:1,True
aph(6)-Id_1_M28829|1|0|1|0,ami,3,1:2:1:2,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_2_FJ591054:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:0:1:0,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:1:0:1|1:1:1:1:1:0:0,ami,1,1:2:1:3,False
aph(6)-Id_1_M28829|0|0|1|1,ami,1,1:1:2:2,False
blaTEM-135_1_GQ896333:blaTEM-1B_1_AY458016|0:1|1:0|1:0|1:0,blm,1,1:2:2:2,False
sul2_2_AY034138:sul2_3_HQ840942:sul2_6_FN995456|0:1:0|1:0:0|0:0:1|0:1:0,sul,1,1:2:3:1,False
sul1_2_U12338|1|0|1|1,sul,2,1:2:1:1,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:1|0:0:0:1:0:1:0|0:0:0:0:0:1:1|1:1:1:1:1:1:0,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:1:0:1|1:1:1:1:1:0:0,ami,3,1:2:1:3,False
aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:1|0:1:0:0|0:1:0:0|1:1:1:0,ami,1,1:2:2:3,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:0:1:1,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:1:0:1|0:0:0:0:1:0|0:0:0:0:1:1|1:1:1:0:1:1,ami,1,1:2:3:4,False
qepA4_1_KX580704|1|1|1|1,qui,1,1:1:1:1,True
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:1:0:0:1:0|1:0:1:1:1:0:1:0,ami,1,1:2:3:4,False
sul1_2_U12338:sul1_5_EU780013:sul1_9_AY963803|0:1:0|1:0:0|1:0:0|0:0:1,sul,1,1:2:2:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA22_1_AM261837:aadA2_1_NC_010870:aadA2_2_JQ364967|0:0:0:1:0|0:0:0:0:1|0:0:0:0:1|1:1:1:0:1,ami,1,1:2:2:3,False
blaTEM-1B_1_AY458016|1|0|1|1,blm,2,1:2:1:1,False
sul1_22_AY115475:sul1_2_U12338:sul1_39_AY522923:sul1_5_EU780013|0:0:0:1|0:0:1:0|1:0:0:0|0:1:0:0,sul,1,1:2:3:4,False
sul1_17_AM746675:sul1_5_EU780013|0:1|0:0|1:0|0:0,sul,1,1:2:3:2,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:0:1:0:0|0:0:0:0:0:0:1|1:1:1:1:0:1:0,ami,1,1:2:1:3,False
blaCTX-M-189_1_FJ657512:blaCTX-M-55_1_DQ810789|1:0|1:0|0:1|0:1,blm,1,1:1:2:2,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA1b_1_M95287:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:0:1:0:0:0:1:0|0:0:0:0:0:1:0:0|1:1:0:1:1:1:0:0,ami,1,1:2:3:4,False
blaCTX-M-125_1_JQ724542:blaCTX-M-14_1_AF252622|0:1|1:0|1:0|1:0,blm,1,1:2:2:2,False
blaCTX-M-3_1_Y10278|1|1|1|1,blm,1,1:1:1:1,True
aph(3'')-Ib_5_AF321551|0|0|1|0,ami,1,1:1:2:1,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:0:1:1|1:1:1:1:0:1:0,ami,1,1:2:3:4,False
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:0:0:1:0:1|1:0:1:1:1:0:1:0,ami,1,1:2:1:3,False
aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:0:1:0,ami,1,1:2:1:3,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:ant(3'')-Ia_1_X02340|0:0:0:1|0:0:1:0|0:0:1:0|1:1:1:0,ami,2,1:2:2:3,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:1:0:0|0:0:1:0:0|1:1:1:1:0,ami,1,1:2:2:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:1:1:0,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA3_1_AF047479|0:0:0:1|0:0:0:1|0:0:0:1|1:1:1:1,ami,1,1:1:1:2,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_2_FJ591054:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:0:1|0:0:1:0:0:1:0:0|0:0:0:0:0:0:0:1|1:1:0:1:1:0:1:0,ami,2,1:2:1:3,False
blaCTX-M-9_1_AF174129|1|1|1|1,blm,1,1:1:1:1,True
blaTEM-1B_1_AY458016|0|1|1|1,blm,2,1:2:2:2,False
aac(6')-Ib-Hangzhou_1_FJ503047|0|1|0|1,ami,1,1:2:1:2,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA8b_2_AM040708|0:0:0:1|0:0:0:1|0:0:0:1|1:1:1:1,ami,1,1:1:1:2,False
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:0:0:1:0:0|1:0:1:1:1:0:1:0,ami,1,1:2:3:4,False
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA1b_1_M95287:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1:0:1|0:1:0:1:0:0:0:1:0|0:0:0:0:0:0:1:0:1|1:0:1:0:1:1:1:0:0,ami,1,1:2:1:3,False
dfrA17_6_AF180469|0|0|1|0,tri,1,1:1:2:1,False
blaTEM-1B_1_AY458016:blaTEM-1C_1_FJ560503|1:0|0:1|1:0|1:0,blm,2,1:2:1:1,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:0:0:0:1:0|0:0:0:0:0:0:1|1:1:1:1:0:1:0,ami,2,1:2:3:4,False
blaTEM-33_1_GU371926|0|1|0|0,blm,1,1:2:1:1,False
dfrA25_1_DQ267940|1|1|1|1,tri,2,1:1:1:1,True
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1:1|0:1:0:0:1:0:1:0|0:0:0:0:0:0:1:1|1:0:1:1:1:1:1:0,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:1:0:1|1:1:0:1:1:0:1,ami,1,1:2:1:3,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA1_4_JQ480156:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:0:1:0:0:0:1:0|0:0:0:1:0:0:1:0|1:1:0:1:1:0:1:0,ami,1,1:2:3:4,False
aac(3)-VIa_2_NC_009838|1|1|1|1,ami,2,1:1:1:1,True
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:1|0:0:0:1:0:1:0|0:0:0:0:0:1:1|1:1:1:0:1:1:1,ami,1,1:2:1:3,False
blaKPC-2_1_AY034847|1|1|1|1,blm,3,1:1:1:1,True
blaOXA-9_1_KQ089875|1|1|1|1,blm,3,1:1:1:1,True
blaTEM-1A_1_HM749966:blaTEM-1B_1_AY458016|1:0|1:0|0:1|0:1,blm,1,1:1:2:2,False
aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:1:0:1:0:0|0:0:0:1:0:0|1:0:1:1:1:0,ami,1,1:2:3:4,False
aph(3')-Ia_1_V00359:aph(3')-Ia_7_X62115|1:0|0:1|1:0|1:0,ami,2,1:2:1:1,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:1|0:0:0:1:0:1:0|0:0:0:0:0:1:1|1:1:1:1:1:1:0,ami,1,1:2:1:3,False
aph(3'')-Ib_4_AF313472|1|1|1|1,ami,1,1:1:1:1,True
