isolate,pattern,agreement
9b8a8cd9-fcb9-4f88-8d31-76a12ae0565b,blaTEM-1C_1_FJ560503:blaTEM-1D_1_AF188200,False
9b8a8cd9-fcb9-4f88-8d31-76a12ae0565b,aph(3'')-Ib_5_AF321551,False
9b8a8cd9-fcb9-4f88-8d31-76a12ae0565b,aph(6)-Id_1_M28829,False
9b8a8cd9-fcb9-4f88-8d31-76a12ae0565b,sul2_2_AY034138,False
9b8a8cd9-fcb9-4f88-8d31-76a12ae0565b,dfrA14_1_KF921535:dfrA14_5_DQ388123,False
f7029b0d-c6f9-4131-bfe1-0c712b67d47d,blaCTX-M-14b_1_DQ359215:blaCTX-M-16_1_AY029068,False
f7029b0d-c6f9-4131-bfe1-0c712b67d47d,blaTEM-1B_1_AY458016,True
f7029b0d-c6f9-4131-bfe1-0c712b67d47d,aph(3'')-Ib_5_AF321551,True
f7029b0d-c6f9-4131-bfe1-0c712b67d47d,aph(3')-Ia_1_V00359,True
f7029b0d-c6f9-4131-bfe1-0c712b67d47d,aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971,False
f7029b0d-c6f9-4131-bfe1-0c712b67d47d,dfrA14_1_KF921535:dfrA14_5_DQ388123,False
40435a69-3c84-4ea0-8261-56d139ec76a1,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,False
40435a69-3c84-4ea0-8261-56d139ec76a1,sul3_2_AJ459418,True
40435a69-3c84-4ea0-8261-56d139ec76a1,dfrA12_8_AM040708,True
89451582-9b16-4ff2-9099-8da3381106dd,blaTEM-1B_1_AY458016,True
89451582-9b16-4ff2-9099-8da3381106dd,aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:ant(3'')-Ia_1_X02340,False
89451582-9b16-4ff2-9099-8da3381106dd,sul2_2_AY034138,True
89451582-9b16-4ff2-9099-8da3381106dd,dfrA1_7_AJ400733:dfrA1_8_X00926,False
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d,qnrS1_1_AB187515:qnrS6_1_HQ631376,False
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d,aph(3'')-Ib_5_AF321551,True
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d,aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971,False
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d,sul2_2_AY034138,True
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d,dfrA14_1_KF921535:dfrA14_5_DQ388123,False
17597a5b-feae-4bdc-a1db-4dac0b2c603c,blaTEM-1C_1_FJ560503,True
1088d896-99e3-41a9-97ea-cad622749474,blaTEM-1B_1_AY458016,True
1088d896-99e3-41a9-97ea-cad622749474,aadA5_1_AF137361,True
1088d896-99e3-41a9-97ea-cad622749474,aph(3'')-Ib_5_AF321551,True
